Data	Erro Sistêmico	Erro Físico	Físico > Sistêmico	Sistêmico > Físico	Etiqueta REJEITADO	Não gerou Etiqueta	Mosaico	Tampa comprometida	Pallet com caixa(s) sem tampa	Caixas danificadas pelo robô	Pallet quebrado	Mistura	Outro
07/07/2025	15	2	9	3	1	1	1	0	0	0	0	0	1
08/07/2025	33	47	11	1	2	12	33	7	1	0	1	0	11
09/07/2025	16	30	7	0	1	1	20	6	0	0	3	0	7
10/07/2025	14	19	10	1	0	2	10	2	0	0	7	0	1
11/07/2025	13	21	6	0	2	5	18	1	1	0	1	0	0
12/07/2025	4	8	1	0	3	0	6	1	1	0	0	0	0
13/07/2025	7	0	5	0	0	0	0	0	0	0	0	0	1
14/07/2025	13	20	9	0	2	1	5	10	0	0	5	0	1
15/07/2025	15	27	8	2	4	1	17	5	0	0	4	0	1
16/07/2025	35	32	2	2	3	26	6	16	1	0	8	0	2
17/07/2025	13	23	3	0	1	5	4	13	0	0	6	0	4
18/07/2025	4	22	1	0	2	1	7	13	1	0	1	0	0
19/07/2025	7	8	6	0	0	1	3	0	0	0	4	0	1
20/07/2025	4	15	0	0	1	1	2	8	0	0	1	0	6
21/07/2025	13	26	1	0	7	4	3	13	0	0	6	0	6
22/07/2025	2	22	0	0	0	0	5	6	0	0	2	1	11